################################################################################################################
###New FoI Names################################################################################################
################################################################################################################
118 = "Hrom"							#Roma/Rum/Hrum
1849 = "Hamat"							#Hamät/Hama/Emath
1967 = "Kurushkand"						#Kyroupolis/Cyrus city
1968 = "Khuttalan"						#Khuttal/Khatlon/Hesar
2078 = "Sadigaw"						#Bannu/Thataguš/Varnu
2124 = "Yarkand"						#Yarkant
2199 = "Darband"						#Tarki/Darbanth
2202 = "Syabagh"						#Karabakh
2205 = "Nakhjavan"						#Nakhjewan/Nakhchivan
2206 = "Urmiya"							#Urmia/Orumiya
2207 = "Maragheh"						#alt Marawe/Ganzak
2209 = "Ilam"							#Ilam/Elam
2210 = "Kirmanshah"						#Kermanshah/Chala
2211 = "Artalan"						#Saneh/Sanandaj/Ardalan
2212 = "Shahin"							#Zanjan
2213 = "Komishan"						#Komi/Qom/Arak
2214 = "Gurgan"							#Golestan/Gorgan
2215 = "Nogshahpuhr"					#Nogshabuhr/New Shahpur
2216 = "Komesh"							#Gomess/Semnan
2217 = "Arragan"						#Ariogiray/Argan/Arrajan/Yasuj
2218 = "Shiraz"							#Shiraz
2219 = "Bokhtardashir"					#Boktshir/Bandar Langeh/Bokht-Ardashir/Bokht-Artaxshir
2220 = "Bam"							#Bam
2221 = "Sanabad"						#Mashhad
2222 = "Artagan"						#Ardakan/Ardakana/Artagana
2223 = "Larestan"						#Lar/Laristan
2224 = "Frakhkar"						#Farah/Phrada/Phra
2225 = "Bamikan"						#Bamyan
2226 = "Adenabad"						#Dzalabad/Jalalabad/Nagarhara
2227 = "Kahwandiz"						#Kunduz/Drapsaka
2233 = "Chawahar"						#Tis/Tiz
2234 = "Shahripabag"					#Kushkuia/Rafsanjan/Shahr-e Babak/Shahr-i Pabag
2235 = "Beihagh"						#Beyhagh/Sabzevar/Sarbadar/Gospand - Gaw
2236 = "Busangerd"						#Bojnord/Buzanjird <- seems to be based on this but making it sound more middle persian
2297 = "Sparda"							#Thrakesion/Saruhan/Manisa
2298 = "Attaliya"						#Cibyrrhaeot
2301 = "Kayseri"						#Charsianon
2302 = "Selukiya"						#Seleucia
2303 = "Malatiya"						#Malatya
2307 = "Wan"							#Van/Corduene
2308 = "Urhay"							#Edessa
2309 = "Shingar"						#Sinjar / Sinra/Shangar/Hatra
2310 = "Tagret"							#Tagrit/Samarra
2311 = "Hert"							#Hirta
2312 = "Kashkar"						#Wasit/Nippur
2313 = "Antiyok"						#Antâkiye/Andiyok/?ndy?k
2349 = "Dahistân"						#Akrat/Kizil-Su/Dahistan/Dahestan/Dahistân
2350 = "Arshakabad"						#Konjikala/Ashgabat - Ashkabad/Arshakgird/Arshakabad
2356 = "Chimkand"						#Chimkent/Chimkant/Turf city
2363 = "Atakand"						#Atakent/Father City
2411 = "Peroz"							#Peroz/Mansur
2999 = "Hormoz"							#Hormuz/Abarkavan /Qeshm/Gheshm
4171 = "Barkuh"							#Abarqu
4288 = "Arvand"							#Shatt/Arvan
4289 = "Shushtar"						#Andimeshk/Shuhstar
4290 = "Susangerd"						#Hoveyzeh/Sush/Shush/FOI Susankirt
4291 = "Sharaban"						#Shareban/Artemita/Qazaniya
4293 = "Arbira"							#Arbaira/Arbil/Arbela/Hawler
4294 = "Zamwa"							#Islam Sulimaniyeh #Christian Shalimooniyeh/Shlemuniyeh/Qelaçiwalan
4300 = "Miyana"							#Gazak/Mianeh/Miyanej
4302 = "Daroynk"						#Daruynk/Bayazidi
4304 = "Gher"							#Khoy/Khoi
4305 = "Shakne"							#Shaki/Sheke/Sheki/Shaka/Shakki/Shaken/Shakkan/Shekin
4307 = "Kappodakiya"					#Cappadocia/Katpatuka
4308 = "Laodikiya"						#Laodicea
4311 = "Anatole"						#Anatolikon/Qarehesar/Karahisar/Qaraqasr
4312 = "Eskishahr"						#Dorylaeum
4314 = "Kirshahr"						#Kirshehir
4324 = "Pashang"						#Pushang/Ghuriyan/Ghurian
4325 = "Sarakhs"						#Säräkhs Sarakhs/Säräxs
4326 = "Nevshahpuhr"					#Nishapur/Nevshabuhr #fair, good city of Shapur
4327 = "Jask"							#Jask
4329 = "Pars"							#Pasa/Fasa/Parsa/Pashiya/Sadestun
4330 = "Darábgerd"						#Darábghird/ Darábgird
4331 = "Bishahpuhr"						#Bishapur/Bishabuhr/Bay-Sapur
4332 = "Siraf"							#Tahiri/Kangan
4334 = "Golshan"						#Tabas/Golshan
4335 = "Kashian"						#Kashan
4336 = "Taban"							#Tun/Toon/Ferdows/Sarayan
4337 = "Savakineh"						#Savakin/Savah/Saveh/Saavakineh
4338 = "Shâhanshâhiya"					#Sahesahania/Shâhanshâha/Soltanieh
4339 = "Rasht"							#Resht
4340 = "Astarab"						#Astara
4341 = "Saruyeh"						#Saru/Sari
4342 = "Ramhormoz"						#Ayapir
4343 = "Tarmith"						#Termoz/Jozjan/Guzgan
4344 = "Kish"							#Shahrisabz
4345 = "Shiragan"						#Sirgan/Sirjan
4504 = "Yâvarpur"						#Yavarpur/hayyar

################################################################################################################
###Extended Timeline############################################################################################
################################################################################################################
295 = "Musku"							#Moskva						|			18.06.19

#Restore Bablyon?
#409 = "Babel"							#Shapira/Karbala
