158 = "Mures"                   #Maros
4173 = "Sirmia"                 #Syrmia
4174 = "Durazzo"                #Durrës
4175 = "Scutari"				#Lezhe Lezha or Skadar
4176 = "Branichevo"				#Branicevo
4239 = "Belgrad"				#Belgrade
4529 = "Yash"					#Iasi 
4530 = "Bârlad"					#Birlad Barlad
4236 = "Trenchin"				#Trencin 
4531 = "Giurgiu"				#Giurgiu
4532 = "Severin"                #Severin
4698 = "Cefalonia"              #Cephalonia
4699 = "Etolia"                 #Aetolia
4700 = "Lesbos"                 #Lesbos
4701 = "Corint"                 #Corinth
4702 = "Serres"                 #Ta Serres
4703 = "Pautalia"               #Kiustendil Köstendil Kyustendil / Velbazhd Velebusdus
4704 = "Wazarurile"             #Tirnovo
4705 = "Komotini"               #Komotini
4706 = "Saccea"                 #Tulca Tulcea alt romanian alt Dobrogea / Dobruja Isaccea
4712 = "Constanta"		        #Konstanz
4719 = "Bresse"                 #Bressia Bressa
4720 = "Geneva"                 #Genevra Genève Ginevra Genf
4727 = "Saluzzo"                #Saluzzo
4728 = "Pavia"                  #Pavia
4729 = "Padova"                 #Padua
4730 = "Bologna"                #Bologna
4731 = "Spoleto"                #Spoleto
4732 = "Terracina"              #Terracine
4733 = "Molise"                 #Molise
4734 = "Avellino"               #Avellino
4735 = "Arborea"                #Arborea
4736 = "Trapani"                #Trapani Drepanum Drepano
4737 = "Agrigento"              #Girgenti
4738 = "Triest"                 #Trieste
4739 = "Bergamo"                #Bergamo
4740 = "Como"                   #Còmm Como Bostan
4750 = "Kruja"					#Krujë ###Croia Croya and Croarum
4751 = "Celie"                  #Cilli Celeae
4752 = "Fiume"                  #Rijeka
4753 = "Zara"                   #Zadar / Jadra Jadera Jadertina
4754 = "Càttaro"                #Kotor
4755 = "Valea Drinei"           #Podrinje
4756 = "Bjelovar"               #Bjelovar Bellovarium
4757 = "Kolubara"               #Kolubara
4759 = "Carintia Superioara"    #Upper Karnten
4761 = "Stiria de Nord"   	    #North Styria / Steyr / Upper Styria Stiria Superioara
4779 = "Callipol"               #Gallipoli
4780 = "Ohrida"                 #Ohrid / Lychnidos ###Locrida

#List #Extended Timeline
12 = "Copenhaga"						#Sjælland				|			04.10.18
14 = "Funen"							#Fyn					|			30.07.20
15 = "Iutlanda de Mijloc"				#Jylland
25 = "Gotlanda"							#Gotland				|			30.07.20
27 = "Finlanda"							#Finland
62 = "Lipsca"							#Leipzig				|checked	04.10.18
78 = "Maienta"							#Mainz					|			04.10.18
116 = "Florenta"						#Firenze				|checked	20.05.18
261 = "Terebovlea"						#Terebovlia				|			03.10.18
279 = "Volinia"							#Volhynia
281 = "Camenita"						#Kamieniec				|			03.10.18
282 = "Edisan"							#Yedisan				|			03.10.18
283 = "Zaporijjea"						#Zaporozhia				|			03.10.18
284 = "Crimeea"							#Crimea
289 = "Cernihiv"						#Chernigov				|			04.10.18
290 = "Poltava"							#Poltava				|			04.10.18
291 = "Harkov"							#Kharkov
321 = "Cipru"							#Cyprus					|checked	04.10.18
979 = "Insulele Aleutine"				#Aleut					|			15.06.18
1942 = "Jîtomîr"						#Zhytomyr				|			03.10.18
1943 = "Bratlav"						#Bratslav				|incomplete	03.10.18
1944 = "Cerkasî"						#Cherkasy				|			03.10.18
1974 = "Herson"							#Yedishkul				|			04.10.18
2406 = "Nicolaev"						#Ingil					|			03.10.18
2323 = "Desert nubian"					#Sahra an Nübyah
2407 = "Pereiaslav"						#Pereyaslav				|			04.10.18
2961 = "Liov"							#Lwow					|checked	03.10.18
2962 = "Rivne"							#Rowne	    			|ukrainian	04.10.18
4542 = "Ovruci"							#Owrucz					|			04.10.18
4539 = "Kremenet"						#Kremenets				|			04.10.18
4540 = "Vinita"							#Winnica				|			03.10.18
261 = "Halîci"							#Halych					|			02.10.18
4542 = "Lubnî"							#Lubny			    	|			04.10.18				

#Poland
2424 = "Peremislia"		        #Przemysl
2959 = "Tarnovia"		        #Tarnow
#Russia
1959 = "Torjok"			        #Torzhok
#Slovakia
162 = "Susudava"		        #Zemplen
