####################################################################################
###Vanilla Names####################################################################
####################################################################################
118 = "Rim"						#Roma
1831 = "Hèrcegovina"			#Travunia/Herzegovina
1862 = "Kremona"				#Cremona
1863 = "Gradac"					#Graz
1864 = "Pêtbazilika"			#Somogy/Shomod
1875 = "Kuneo"					#Cuneo
1934 = "Lukanija"				#Lucania
1951 = "Lípova"					#Hunyad/Orastia/Belgrad
1952 = "Marmorish"				#Maramaros/Marmarosh/Maramuresh/Marmatija
1953 = "Vedrìna"				#Vedrina
2313 = "Antiohija"				#Antioch
2348 = "Hios"					#Chios
2405 = "Tigina"					#Tighina
2746 = "Vidin"					#Vidin
2750 = "Plovdiv"				#Philippoúpolis/Filibe
2966 = "Glogov"					#Glogau
2967 = "Heb"					#Cheb
2968 = "Budjejovice"			#Budejovice
2970 = "Gradecko"				#Hradecko/Gradec
2976 = "Peruda"					#Perugia
2980 = "Luka"					#Lucca
2981 = "Monferat"				#Montferrat
2982 = "Sirakuza"				#Syracuse
2984 = "Kozenca"				#Consenza
2985 = "Fotija"					#Foggia/Foda
2986 = "Kaljari"				#Cagliari
3000 = "Nish"					#Nis
3001 = "Skoplje"				#Skopje
3003 = "Halkida"				#Chalkis/Euboea Evbeja
4125 = "Solnograd"				#Solnograd
4126 = "Titel"					#Seged Bacs Backa Bach Bagasin
4128 = "Kralzemlja"				#Kiralyfold Királyföld/Semigradsko
4175 = "Ljesh"					#Lezhe Albania
4176 = "Branicevo"				#Branicevo
4236 = "Trencin"				#Trencin/Trenchin
4238 = "Legnjica"				#Liegnitz
4239 = "Beograd"				#Belgrade
4240 = "Kämenec"				#Kamenec
4529 = "Jashi"					#Iasi Yash
4530 = "Birlad"					#Barlad/Burlad
4531 = "Dzurdzevo"				#Bucharest Giurgiu/Durdu
4698 = "Kefalonija"				#Cephalonia
4699 = "Etolija"				#Aetolia
4700 = "Lezbos"					#Lesbos
4701 = "Korint"					#Corinth
4702 = "Ser"					#Serres/Seres
4703 = "Velbuzhd"				#Pautalia Pautalija Köstendil
4704 = "Wazarija"				#Tirnovo
4706 = "Dobrudzha"				#Dubruja/Tulcha
4725 = "Jindrihuv Gradec"		#Jindrichuv Hradec
4727 = "Saluco"					#Saluzzo
4730 = "Bolonja"				#Bologna
4732 = "Teracina"				#Terracina/Terachina
4733 = "Molize"					#Molise
4734 = "Avelino"				#Avellino
4736 = "Drepana"				#Trapani/Drepanon
4737 = "Akradzent"				#Girgenti/Ahradzenta/Agridzento
4740 = "Komo"					#Como
4753 = "Zadar"					#Zara
4755 = "Podrinje"				#Podrinje
4756 = "Medimorje"				#Medimorje/Bjelovar
4757 = "Kolubara"				#Kolubara
4759 = "Gornja Korushka"		#Oberkärnten
4761 = "Shtajr"					#Steyr
4762 = "Becka Shuma"			#Wienerwald
4778 = "Zgorelec"				#Görlitz
4779 = "Kalipolje"				#Gallipoli
4780 = "Ohrid"					#Ohrid
