13 = "Slesvicko"				#Slesvig
487 = "Jamajka"					#Jamaica
492 = "Portoriko"				#Borikén
493 = "Svatý Tomás"				#St. Thomas
494 = "Svatý Krystof"			#St. Kitts
498 = "Martinik"				#Martinique
499 = "Svatá Lucie"				#St. Lucia
500 = "Svatý Vincent"			#St. Vincent
522 = "Dillí"					#Delhi
524 = "Strední Doab"			#Central Doab
529 = "Severní Konkan"			#Thana
530 = "Jizní Konkan"			#Dabhol
531 = "Severní Kanara"			#North Kanara
546 = "Vychodní Berar"			#East Berar
548 = "Zapadní Berar"			#Illichpur
556 = "Dolní Doab"				#Lower Doab
561 = "Bengálská delta"			#Bengal Delta
574 = "Andamany"				#The Andamans
635 = "Zapadní Timor"			#West Timor
636 = "Brunej"					#Brunei

667 = "Kanton"					#Canton
668 = "Macao"					#Macau
669 = "Fu-cou"					#Fuzhou
670 = "Kan-cou"					#Ganzhou
671 = "Cchang-sa"				#Changsha
674 = "Kuej-jang"				#Guiyang
676 = "Zikace"					#Shigatse
679 = "Ccheng-tu"				#Chengdu
680 = "Cchung-cching"			#Chongqing
681 = "I-cchang"				#Yichang
683 = "Nan-cchang"				#Nanchang
684 = "Chang-cou"				#Hangzhou
685 = "Jang-cou"				#Yangzhou
686 = "An-cching"				#Anqing
687 = "Nan-jang"				#Nanyang
688 = "Kchaj-feng"				#Kaifeng
689 = "Chan-cung"				#Hanzhong
690 = "Cching-cou"				#Qingzhou
691 = "Ti-nan"					#Jinan
696 = "Pao-ting"				#Baoding
697 = "Ta-tchung"				#Datong
698 = "Ning-sia"				#Ningxia
699 = "Lan-cou"					#Lanzhou
700 = "Si-an"					#Xi'an
703 = "Ccheng-te"				#Chengde
708 = "Cang-jie"				#Zhangye
726 = "Sen-jang"				#Shenyang
727 = "Ajgun"					#Aigun

762 = "Svatý Tomás"				#Sao Tome
767 = "Ortelsburk"				#Ortelsburg
770 = "Braslav"					#Braslaw
1020 = "Kjoto"					#Kyoto
1032 = "Kurily"					#The Kurils
1033 = "Sachalin"				#Enchiw
1034 = "Kamcatka"				#Kamchatka
1059 = "Východní Tunguska"		#East Tunguska
1061 = "Západní Tunguska"		#West Tunguska
1095 = "Falklandy"				#Falklands
1096 = "Kapverdy"				#Cape Verde
1098 = "Svatá Helena"			#St. Helena
1099 = "Sokotra"				#Socotra
1102 = "Mauricius"				#Mauritius
1119 = "Peprové pobrezí"		#Grain Coast
1126 = "Pobrezí Slonoviny"		#Ivory Coast
1139 = "Zlaté pobrezí"			#Gold Coast
1164 = "Kamerun"				#Cameroon
1173 = "Namíbie"				#Namibia
1177 = "Mys"					#Cape
1195 = "Mosambik"				#Mozambique
1205 = "Mogadisu"				#Mogadishu
1238 = "Salamounovy ostrovy"	#Solomon Islands
1240 = "Havaj"					#Hawaii
1242 = "Fidzi"					#Viti Levu
1244 = "Gambierovy ostrovy"		#Tuamotu Islands

1247 = "Korsika"				#Corsica
1248 = "Maledivy"				#Maldives

1306 = "Svatý Tomás"			#Sao Tome

1742 = "Limburk"				#Upper Guelders
1744 = "Antverpy"				#Antwerpen
1745 = "Kantabrie"				#Cantabria
1752 = "Rzev"					#Rzhev
1756 = "Besarábie"				#Bessarabia
1757 = "Horni Falc"				#Oberpfalz
1759 = "Postupim"				#Potsdam
1760 = "Koblenc"				#Koblenz
1761 = "Falc"					#Pfalz
1763 = "Dolni Luzice"			#Niederlausitz
1767 = "Slavonie"				#Slavonia
1768 = "Linec"					#Lienz
1769 = "Gorice"					#Görz
1771 = "Rudohori"				#Erz
1773 = "Achaja"					#Achaea
1775 = "Holstynsko"				#Holstein

1816 = "Peking"					#Beijing
1821 = "Nanking"				#Nanjing
1822 = "Su-cou"					#Suzhou
1824 = "Wen-cou"				#Wenzhou
1827 = "Raska"					#Raska
1828 = "Dolní Kraj"				#Donji Kraji
1833 = "Ti-an"					#Ji'an
1836 = "Luo-jang"				#Luoyang
1838 = "Che-fej"				#Hefei
1840 = "Kuej-lin"				#Guilin
1841 = "Malbork"				#Marienburg
1856 = "Abcházie"				#Abkhazia
1857 = "Lauenburk"				#Lauenburg
1858 = "Stetin"					#Stettin
1859 = "Chlumno"				#Chelmno
1863 = "Styrsky Hradec"			#Graz
1865 = "Gent"					#Ghent
1868 = "Auspurk"				#Augsburg
1869 = "Curych"					#Zürich
1870 = "Svaty Havel"			#St Gallen
1871 = "Valais"					#Wallis
1874 = "Bremy"					#Bremen
1878 = "Cachy"					#Aachen
1881 = "Svatý Martin"			#St. Martin

1931 = "Východní Frísko"		#East Frisia
1935 = "Mitava"					#Mitau
1944 = "Cerkasy"				#Cherkasy
1945 = "Severie"				#Severia
1957 = "Kalis"					#Galich
1978 = "Shetlandy"				#Shetland
1979 = "Faerske ostrovy"		#Färöarna
1986 = "Nová Kaledonie"			#New Caledonia
1987 = "Spolecenské ostrovy"	#Society Islands
1988 = "Velikonocní ostrov"		#Rapanui
1991 = "Gilbertovy ostrovy"		#Gilbert Island
1993 = "Marshallovy ostrovy"	#Marshall Islands
1995 = "Mikronésie"				#Micronesia
1998 = "Vánocní ostrov"			#Christmas Island
1999 = "Kokosový ostrov"		#Cocos Island
2002 = "Galapágy"				#Galápagos Islands
2025 = "Jizní Georgie"			#South Georgia
2029 = "Jizní Kanara"			#South Kanara
2060 = "Horni Doab"				#Upper Doab

2124 = "Jarkend"				#Yarkand
2129 = "Changthang"				#Changtang
2131 = "Chamdo"					#Qamdo
2137 = "Ta-ming"				#Daming
2139 = "Lan-cou"				#Laizhou
2140 = "Jang-cou"				#Yanzhou
2142 = "Chuaj-an"				#Huai'an
2143 = "Feng-jang"				#Fengyang
2144 = "Fu-jang"				#Fuyang
2145 = "Cen-tiang"				#Zhenjiang
2147 = "Chuej-cou"				#Huizhou
2149 = "Ning-po"				#Ningbo
2150 = "Tin-chua"				#Jinhua
2163 = "Liou-cou"				#Liuzhou
2164 = "Nan-nin"				#Namning
2165 = "Pchu-er"				#Pu'er
2167 = "Li-tiang"				#Lijiang
2168 = "Po-cou"					#Bozhou
2171 = "Siang-jang"				#Xiangyang
2172 = "Ting-cou"				#Jingzhou
2174 = "Cheng-jang"				#Hengyang
2176 = "Sang-cchiou"			#Shangqiu
2179 = "Jen-an"					#Yan'an
2180 = "Tchien-suej"			#Tianshui
2181 = "Pching-liang"			#Pingliang
2184 = "Si-ning"				#Xining

2313 = "Antiochie"				#Antioch
2424 = "Premysl"				#Peremyshl

2954 = "Dzerba"					#Girba
2956 = "Strubina"				#Straubing
2957 = "Rezno"					#Regensburg
2958 = "Ostroda"				#Osterode
2959 = "Tarnov"					#Tarnow
2960 = "Novy Sadec"				#Nowy Sacz
2961 = "Lvov"					#Lviv
2962 = "Rovné"					#Rivne
2964 = "Stara Marka"			#Altmark
2965 = "Fojtsko"				#Vogtland
2966 = "Hlohov"					#Glogau
2967 = "Cheb"					#Eger
2969 = "Sternberk"				#Sternberg
2975 = "Klévsko"				#Kleves
2982 = "Syrakusy"				#Syracuse
2995 = "Slupsk"					#Slupsk

4020 = "Komory"					#Comoros
4124 = "Karélie"				#Karelia
4238 = "Lehnice"				#Liegnitz
4239 = "Belehrad"				#Belgrade
4708 = "Frisinky"				#Freising
4712 = "Kostnice"				#Constance
4717 = "Barout"					#Bayreuth
4720 = "Ženeva"					#GenevaZwickau
4744 = "Cvikov"					#Zwickau
4760 = "Innské Bavory"			#Innbaiern
4762 = "Vídensky les"			#Wienerwald
4765 = "Mylhúzy"				#Mulhouse
4778 = "Zhorelec"				#Görlitz
#####################
###FOI Czech Names###
#####################
76 = "Malé Solnohrad"			#Salzburg
128 = "Dolní Korutany"			#Unterkärnten - Korutany
135 = "Odenpurk"				#Banat/Ödenburg - Odenburk
151 = "Konstantinopol"			#Constantinople - Carihrad
152 = "Drávohrad"				#Dravograd - Varazdin
153 = "Pecara"					#Pestera
155 = "Brehovo"					#Bregovo
157 = "Holemýhrad"				#Golyamgrad
162 = "Zemplín"					#Zemplin
341 = "Kartágo"					#Carthage
361 = "Memfis"					#Memphis - Mennofer/Káhira
410 = "Ktésifón"				#Mahuza/Bagdád
1765 = "Trojice"				#Sofie
1770 = "Rakousy"				#Manhartsberg - Rakusy
1772 = "Prespurk"				#Bratislava - Preshpurk/Presporok
1864 = "Petikostelí"			#Pentebasilica - Pehtikostelí
4125 = "Solnohrad"				#Solnograd
4236 = "Trencín"				#Trencin
4240 = "Kámenec"				#Kamenets
4707 = "Wasserpurk"				#Wasserburg - Wasserburk
4756 = "Mezimorí"				#Medimorje
4759 = "Horní Korutany"			#Oberkärnten
4761 = "Stýr"					#Steiermark - Shtýr
#########################
#Unused Names############
#########################
#334 = "Tanger"					#Walila
#344 = "Marrakés"				#Amurakush
