####################################################################################
###Vanilla Names####################################################################
####################################################################################
197 = "Rosellón"			#Roussillon
1994 = "San Francisco"				#Wake
1997 = "Isla de Pacífico Central"	#Midway
1988 = "Isla de Pascua"				#Rapanui
1098 = "Isla Santa Elena"			#St. Helena
2002 = "Islas Galápagos"			#Galápagos Islands

1987 = "Islas de la Sociedad"		#Society Islands
1725 = "Archipiélago Tuamotu"		#Tuamotu Islands
1238 = "Islas Salomón"				#Solomon Islands
1991 = "Islas Gilbert"				#Gilbert Islands
1993 = "Los Pintados"				#Marshall Islands
1096 = "Cabo Verde"					#Cape Verde
2025 = "Isla San Pedro"				#South Georgia
1095 = "Islas Malvinas"				#Falklands
4720 = "Ginebra"					#Geneva
1177 = { "Cabo" "Ciudad del Cabo" }	#Cape

####################################################################################
###FoI Names########################################################################
####################################################################################
50 = "Berlín"				#Berlin
81 = "Alto Hesse"			#Oberhessen - Hesse
118 = "Roma"				#Rome
151 = "Constantinopla"		#Constantinople
200 = "Montpellier"			#Montpellier - Lenguadoc
206 = "Coruña"				#Corunna - La Coruña
216 = "Helmántica"			#Helmantica
217 = "Manzua"				#Madrid - Madrid
218 = "Mérida"				#Mérida
219 = "Toledo"				#Toledo
221 = "Cartagena"			#Cartagena/Murcia
224 = "Espalis"				#Hispális/Sevilla - Híspalis/Hispalense
226 = "La Roca"				#La Roca/Gibraltar
227 = "Ulisbona"			#Ossonoba/Lisbon - Ulisbona/Ulishbon/Ulishbona/Olissipo
335 = "Melilla"				#Melit
341 = "Cartago"				#Carthago
345 = "Safin"				#Afsi - Safí/Asfé
358 = "Alejandría"			#Alexandria
368 = "Madera"				#Madeira
379 = "Jerusalén"			#Jerusalem
828 = "Cartagena de Indias"	#Cartagena
836 = "Nueva Cartago"					#Chorotega - Cartago
865 = { "Baja Hespéridia" "San Bruno" }	#Cochimi - Baja California
1110 = "Santa Cruz del Cabo Aguer"		#Tazdayt
1747 = "Cáceres"						#Caceres
1748 = "Gaiena"				#Gaiena/Jaén - Gayena
1749 = "Gades"				#Gades/Cádiz
1750 = "Acraleuce"			#Acraleuke/Lucentum - Alicante/Acraleuca/Acraleuque
1762 = "Bajo Hesse"			#Niederhessen
2313 = "Antioquía"			#Antioch
2514 = "Nuevo Manzua"		#Michigamea - Nuevo Madrid
2618 = "Santa Bárbara"		#Toboso - Santa Barbara
2754 = "La Mancha"			#La Mancha
2982 = "Siracusa"			#Syracuse
2987 = "Urgel"				#Urgell
4546 = "Málaga"				#Malaga
4550 = "Ilercavonia"		#Ilercavonia/Castellón
4559 = "Menorca"			#Minorca
4563 = "Salé"				#Sala / Sla
4564 = "Casablanca"			#Anfa - Casa Blanca
4696 = "Tolón"				#Toulon
4712 = "Constanza"			#Constance
4737 = "Agrigento"			#Agrigentum
4748 = "Brandeburgo"		#Brandenburg
4787 = "Ribatajo"			#Ribatejo
