####################################################################################
###FoI Names########################################################################
####################################################################################
1 = "Estocolmu"				#Stockholm
295 = "Moscú"				#Moskva
334 = "Tánger"				#Tangis
335 = "Melilla"				#Melit
341 = "Cartago"				#Carthago
345 = "Safin"				#Afsi / Safi
346 = "Tafilálet"			#Tafilalt - Tafilate
357 = "Derna"				#Kyrene/Derna - Cirene
360 = "Quena"				#Kone - Qina
362 = "Roseta"				#Rosetta
363 = "Damieta"				#Damietta
379 = "Jerusalén"			#Jerusalem
388 = "Adén"				#Aden
395 = "Catar"				#Catara
836 = "Nueva Cartago"		#Chorotega - Cartago
1099 = "Socotora"						#Socotra
1110 = "Santa Cruz del Cabo Aguer"		#Tazdayt
1750 = "Acraleuce"						#Acraleuke/Lucentum - Alicante/Acraleuca/Acraleuque
1767 = "Eslavonia"			#Slavonia
1877 = "Charolés"			#Charolais
1934 = "Lucània"			#Lucania
1979 = "Islas Feroe"		#Färöarna - Feroe
2313 = "Antioquía"			#Antioch
2514 = "Nuevo Manzua"		#Michigamea - Nuevo Madrid
2618 = "Santa Bárbara"		#Toboso - Santa Barbara
2754 = "La Mancha"			#La Mancha
2957 = "Ratisbona"			#Regensburg
2975 = "Cléveris"			#Kleves
2981 = "Monferrato"			#Montferrat
2987 = "Urgel"				#Urgell
4111 = "Sântona"			#Saintonge - Santoña
4239 = "Belgrado"			#Belgrade
4383 = "La Haya"			#Den Haag
4387 = "Angolema"			#Angoumois
4389 = "Turena"				#Touraine - Torena
4528 = "Cuyavia"			#Kujawy
4550 = "Ilercavonia"		#Ilercavonia/Castellón
4563 = "Salé"				#Sala / Sla
4564 = "Casablanca"			#Anfa - Casa Blanca
4696 = "Tolón"				#Toulon
4701 = "Corinto"			#Corinth
4712 = "Constanza"			#Constance
4727 = "Saluces"			#Saluzzo - Saluzzo
4728 = "Pavía"				#Pavia
4729 = "Padua"				#Padova
4730 = "Bolonia"			#Bologna - Boloña
4731 = "Espoleto"			#Spoleto
4737 = "Agrigento"			#Agrigentum
4739 = "Bérgamo"			#Bergamo
