####################################################################################
###FoI Names########################################################################
####################################################################################
379 = "Erucalem"                        #Jerusalem / Yerucalam
4399 = "Takon"                          #Dagon / Takan
4407 = "Ruhunu"                         #Ruhunu
4408 = "Calavata"                       #Salavata
4409 = "Tirukkonamalai"					#Trincomale / Tirukonamalai
4410 = "Kumari"                         #Kumari / Kanniyakumari 
4412 = "Tintukkal"						#Dindigul / Thindicharam
4413 = "Kannur"                         #Cannanore
4414 = "Celam"							#Salem
4415 = "Nakappattinam"					#Negapatam
4417 = "Kancipuram"						#Manchipuram
4418 = "Nellur"							#Nellore
4419 = "Atanki"                         #Adanki 
4420 = "Cantirakiri"                    #Chandragiri
4421 = "Srirankappattanam"              #Seringapatam
4422 = "Cira"                           #Sira
4423 = "Kutti"                          #Gutti
4424 = "Atavani"                        #Adavani
4425 = "Kontavitu"						#Kondavidu
4426 = "Citraturk"                      #Chitradurg / Citraturka
4427 = "Honnavara"                      #Honnavara
4428 = "Mutkal"                         #Mudgal
4429 = "Rajapur"                        #Rajapur / Rajyapuram
4430 = "Taman"                          #Daman
4431 = "Kolappur"						#Kolhapur / Kolappuram
4432 = "Junir"                          #Junir
4433 = "Naciya"                         #Nasikya
4434 = "Tarankan"                       #Dharangaon
4435 = "Colappur"                       #Sholhapur / Colappuram
4436 = "Tevarakonta"                    #Devarakonda
4437 = "Piratistanam"                   #Pratishthana / Paittan / Piratistana
4438 = "Nantetu"                        #Nander / Nantet
4439 = "Kamammet"                       #Khamammet
4441 = "Kancam"                         #Ganjam
4442 = "Vasim"                          #Washim
4443 = "Karanca"                        #Karanja
4444 = "Maniturk"                       #Manidurg
4453 = "Talnar"                         #Thalner
4458 = "Narmata"                        #Narbada Narpata / Narumatai
4460 = "Hantiya"                        #Handia / Hantin
4474 = "Conarkan"                       #Sonargaon
#4475 = "Tarmapur"                      #Dharmapur
#4476 = "Natiya"                        #Nadia
4477 = "Catkan"                         #Satgaon / Saptagram Captakiramam
4478 = "Harisanakaram"                  #Harisanagar / Harisnakar
4835 = "Kancanapuri"                    #Kanchanburi
