####################################################################################
###Vanilla Names####################################################################
####################################################################################
111 = "Furlanija"	#Friuli / Tarvisio Trbiz
1756 = "Besarabija"			#Bessarabia
1763 = "Dolnja Lužica"		#Niederlausitz / Spodnja Lužica
1764 = "Mesambrija"			#Mesambria / Mesembrija
1765 = "Trojica"			#Triaditca / Sofija/Sofia/Trojstvo
1767 = "Slavonija"			#Slavonia
1768 = "Lijenc"				#Lienz / Lijents
1770 = "Kremža"				#Manhartsberg
1771 = "Rudne"				#Erz / Rudne Gore/Rudogore
1774 = "Treviz"				#Treviso
1826 = "Lika"				#Lika
1827 = "Raška"				#Raska
1828 = "Dolnji Kraji"		#Donji kraji/Donji krajevi
1831 = "Hercegovína"		#Herzegovina
1862 = "Kremona"			#Cremona
1864 = "Pêtkostelje"		#Pentebasilica / Somogy/Somodska
1875 = "Kuneo"				#Cuneo
1934 = "Lukanija"			#Lucania
1951 = "Lípova"				#Hunyad/Orastia/Belgrad
1952 = "Marmoriš"			#Maramaros/Maramureš/Marmatija/Marmatja
1954 = "Órehica"			#Oravitsa
2313 = "Antiohija"			#Antioch
2750 = "Plovdiv"			#Filipe
2966 = "Glogov"				#Glogau
2967 = "Cheb"				#Eger
2968 = "Budjejovice"		#Budejovice
2980 = "Luka"				#Lucca
2982 = "Sirakuze"			#Syracuse
2984 = "Kozenca"			#Consenza
2985 = "Fotija"				#Foggia
2986 = "Kaljari"			#Cagliari
3000 = "Niš"				#Nis
3001 = "Skopje"				#Skopia
3003 = "Halkida"			#Chalkis
4125 = "Solnograd"			#Solnograd
4127 = "Trda"				#Torda/Trdnjava
4128 = "Kraljeva Zémlja"	#Kiralyfold Királyföld/Semigradsko/Kralzémlja
4173 = "Srem"				#Syrmia
4175 = "Lješ"				#Lezhë
4236 = "Trencín"			#Trencin
4237 = "Olomuc"				#Olomouc
4239 = "Bélgrad"			#Belgrad/Nandorfehervar Béograd
4238 = "Legnica"			#Liegnitz
4240 = "Kámenec"			#Kamenec
4529 = "Jaši"				#Iasi
4531 = "Dzurdzevo"			#Bucharest Giurgiu/Durdu
4698 = "Kefalonija"			#Cephalonia
4699 = "Etolija"			#Aetolia
4702 = "Ser"				#ta Serras
4703 = "Velbužd"			#Pautalia Pautalija Köstendil
4704 = "Wazariya"			#Tirnovo
4706 = "Dobrudža"			#Dubruja/Tulcha
4709 = "Pasov"				#Passau
4727 = "Saluco"				#Saluzzo
4728 = "Pavija"				#Pavia
4730 = "Bolonja"			#Bologna
4733 = "Molize"				#Molise
4736 = "Drepana"			#Trapani/Drepanon
4737 = "Akradzent"			#Girgenti/Ahradzenta/Agridzento
4740 = "Komo"				#Como
4750 = "Kruja"				#Krujë
4753 = "Zadar"				#Zara
4754 = "Kotor"				#Kotor
4756 = "Medimorje"			#Medimorje / Bjelovar/Medžimorje
4760 = "Innbavorska"		#Innbaiern
4761 = "Štajr"				#Steyr
4762 = "Dúnajski Šuma"		#Wienerwald
4778 = "Gorice"				#Görlitz / Gorica
4779 = "Kalipolje"			#Gallipoli
4780 = "Ohrid"				#Ohrid
