####################################################################################
###Vanilla Names####################################################################
####################################################################################
197 = "PROVINCE197CATALAN"		#Roussillon
173 = "Labord"					#Labourd - alt Lapurdi
174 = "Bordeus"					#Bordeaux
175 = "Armanyac"				#Armagnac
179 = "Berric"					#Berry
180 = "Alt Peitau"				#Haut-Poitou
184 = "PROVINCE184CATALAN"		#Orleanais
189 = "Lorena"					#Lothringen
190 = "PROVINCE190CATALAN"		#Bourbonnais
191 = "PROVINCE191CATALAN"		#Nivernais
192 = "PROVINCE192CATALAN"		#Dijonnais
193 = "Franc Comtat"			#Franche-Comté
198 = "Roergue"					#Rouergue
199 = "PROVINCE199CATALAN"		#Auvergne
200 = "Montpeller"				#Montpellier
202 = "PROVINCE202CATALAN"		#Avignon
203 = "PROVINCE203CATALAN"		#Lyonnais
204 = "Delfinat"				#Dauphiné
205 = "PROVINCE205CATALAN"		#Chambery
233 = "Cornualla"				#Cornwall
236 = "Londres"					#London
247 = "PROVINCE247CATALAN"		#Cumbria
257 = "PROVINCE257CATALAN"		#Warszawa
262 = "PROVINCE262CATALAN"		#Krakow
266 = "Praga"					#Prague
269 = "PROVINCE269CATALAN"		#Podlasie
279 = "PROVINCE279CATALAN"		#Volhynia
295 = "Moscou"					#Moskva
373 = "PROVINCE373CATALAN"		#Pale/Dublin - Palissada
1247 = "PROVINCE1247CATALAN"	#Corsica
1744 = "PROVINCE1744CATALAN"	#Antwerpen
1760 = "PROVINCE1760CATALAN"	#Koblenz
1761 = "Palatinat"				#Pfalz
1767 = "PROVINCE1767CATALAN"	#Slavonia
1934 = "PROVINCE1934CATALAN"	#Lucania
1851 = "PROVINCE1851CATALAN"	#Coimbra
1869 = "Zuric"					#Zürich
1877 = "Charolles"				#Charolais
1878 = "PROVINCE1878CATALAN"	#Aachen
2753 = "Narbona"				#Narbonne
2957 = "Ratisbona"				#Regensburg
2975 = "PROVINCE2975CATALAN"	#Kleves
2976 = "Perusa"					#Perugia
2982 = "Saragossa de Sicilia"	#Syracuse
2983 = "Salern"					#Salerno
2986 = "PROVINCE2986CATALAN"	#Cagliari
4112 = "PROVINCE4112CATALAN"	#Quercy
4239 = "Belgrad"				#Belgrade
4383 = "la Haia"				#Den Haag
4386 = "Baix Peitau"			#Bas-Poitou
4387 = "Angulema"				#Angoumois
4389 = "Turena"					#Touraine
4391 = "PROVINCE4391CATALAN"	#Vivarais
4528 = "PROVINCE4528CATALAN"	#Kujawy
4695 = "Carcassona"				#Carcassonne
4696 = "PROVINCE4696CATALAN"	#Toulon
4697 = "La Marcha"				#La Marche
4701 = "Corint"					#Corinth
4721 = "Friburg"				#Fribourg
4727 = "PROVINCE4727CATALAN"	#Saluzzo
4729 = "PROVINCE4729CATALAN"	#Padova
4730 = "Bolonya"				#Bologna
4736 = "PROVINCE4736CATALAN"	#Trapani
4737 = "Agrigent"				#Agrigentum
4739 = "PROVINCE4739CATALAN"	#Bergamo

1725 = "Illes Marqueses"
1986 = "PROVINCE1986CATALAN"
1987 = "Illes de la Societat"
1988 = "Illa de Pasqua"

####################################################################################
###FoI Names########################################################################
####################################################################################
12 = "Selàndia"				#Sjælland
42 = "Vàrmia"				#Warmia
43 = "Danzig"				#Gdansk
65 = "Múnic"				#München - alt Munic
72 = "Brisgòvia"			#Breisgau
81 = "Alt Hessia"						#Oberhessen
92 = { "Brabant" "PROVINCE92CATALAN" }	#Brussels
97 = { "Holanda" "Amsterdam" }			#Amsterdam - Amsterdam
100 = "Frísia"							#Friesland
110 = "Trento"				#Trentino
114 = "Ravêna"				#Ravenna
128 = "Baixa Caríntia"		#Unterkärnten
129 = "Carniola"			#Krain
136 = "Espalato"			#Spalato
151 = "Constantinoble"		Constantinople
178 = "Anjau"									#Anjou
183 = { "Illa de França" "PROVINCE183CATALAN" }	#Paris
195 = "PROVINCE185CATALAN"						#Limousin
196 = "Tolosa"				#Toulouse - alt Tolosa de Llenguadoc
217 = "Mansua"				#Madrid - alt Madrit
219 = "Tolèdol"				#Toledo - alt Toledo
221 = "Cartagena"			#Cartagena/Murcia - alt Cartagènia
224 = "Espal"				#Sevilla/Hispalis - alt Hispal
226 = "La Roca"				#Gibraltar
227 = "Ulixbona"			#Ossonoba/Lisbon - alt Olissipo/Olixbona/Ulisbona
229 = "Pasagossa"			#Pazagoza - alt Pauagossa
334 = "Tànger"				#Tangis
335 = "Melilla"				#Melit
341 = "Cartago"				#Carthago
357 = "Derna"				#Kyrene/Derna - Cirene
360 = "Qena"				#Kone
362 = "Roseta"				#Rosetta
363 = "Damieta"				#Damietta
367 = "Açores"				#The Azores
368 = "Madera"				#Madeira
369 = "PROVINCE368CATALAN"	#Orkney not Madeira
395 = "Catar"				#Catara
492 = "Port Ric"			#Borikén
1099 = "Socotora"			#Socotra
1748 = "Gaién"				#Gaiena - Jaén
1749 = "Gades"				#Gades - alt Cadis
1750 = "Acraleuc"			#Acraleuke - alt Acraleuce/Alacant
1757 = "Alt Palatinat"		#Oberpfalz
1762 = "Baix Hessia"		#Niederhessen
1763 = "Baixa Lusàcia"		#Niederlausitz
1769 = "Gorizia"			#Görz
1764 = "Mesèmbria"			#Mesembria/Brugas - alt PROVINCE1764CATALAN
1841 = "Mariemburg"			#Marienburg - Mariemburgo
1865 = "Gant"				#Ghent
1870 = "Sant Gall"			#St Gallen
1873 = "Grisonia"			#Chur
1874 = "Brema"				#Bremen
1876 = "Francfort"			#Frankfurt
1931 = "Frísia oriental"	#East Frisia
1979 = "Illes Fèroe"		#Färöarna - PROVINCE1979CATALAN
2313 = "Antioquia"			#Antioch
2991 = "Forcalquer"			#Forcalquier
4111 = "Santonja"			#Saintonge - Xaintonge
4550 = "Ilercavònia"		#Ilercavonia
4563 = "Salé"				#Sala / Sla
4564 = "Casablanca"			#Anfa
4557 = "Bílbila"			#Bílbila - Calataiud
4694 = "Fois"				#Foix - Foix
4712 = "Constança"			#Constance
4731 = "Espoleto"			#Spoleto
4759 = "Alta Caríntia"		#Oberkärnten
4769 = "Lilla"				#Lille
4770 = "Bolduc"				#Den Bosch

####################################################################################
#Unused Names#######################################################################
####################################################################################
#2750 PROVINCE2750CATALAN	Plovdiv
